ID,SEX,AGE,RESEARCHER,CLV.L,CLV.R,MC1.L,MC1.R,MC2.L,MC2.R,MC3.L,MC3.R,MC4.L,MC4.R,MC5.L,MC5.R,Patella.L,Patella.R,Calcaneus.L,Calcaneus.R,Talus.L,Talus.R,Cuboid.L,Cuboid.R,Navicular.L,Navicular.R,Med Cuneiform.L,Med Cuneiform.R,Int Cuneiform.L,Int Cuneiform.R,Lat Cuneiform.L,Lat Cuneiform.R,MT1.L,MT1.R,MT2.L,MT2.R,MT3.L,MT3.R,MT4.L,MT4.R,MT5.L,MT5.R,HUMERUS.L,FEMUR.L,TOTAL MASS
72,M,81,MAA,10.4,,,,3.8,,,3.2,2,1.9,1.8,,8.7,7.1,,,16.2,13.8,4.2,4.1,5.2,,3.4,3.3,1.9,1.2,2.6,2.1,6.4,6,4.1,3.4,3.8,3.9,2.9,3,3.1,3.1,71.1,198.2,2203.3
73,F,92,MAA,13.3,13.7,2.2,2,4,3.7,3.2,3.3,1.9,1.9,1.7,1.5,,,,,,14.6,,3.6,,4.8,,2.9,,2.3,,2.1,,6.4,4.6,4.9,4.4,3,3.8,2.6,,2.4,79.6,270.8,2870.6
75,F,86,MAA,,13,2.9,3.1,4.7,4.2,4.1,3.9,2.7,2.4,2.1,1.9,8,9.9,26.1,24.5,16.6,17,5.1,4.7,5.6,5.3,3.8,3.6,2,1.8,2.3,2.4,7.3,6.3,5.7,5.2,4.4,4.1,3.8,4.1,4.7,5,84.1,250.3,2587.1
76,F,60,MAA,17.6,16.6,2.7,2.6,4.3,4.7,4.1,4.6,2.4,2.6,2.1,2,9,8.6,26.5,24.4,15.4,15.8,4.3,4.1,4.5,5,2.7,2.9,1.1,1.3,1.5,1.6,6.4,6.3,3.4,4.1,3.4,3.8,3.6,3.5,4.5,4.1,119.3,278,3027.7
78,M,38,JC,18.4,18.8,,3.3,4.4,5.3,4.5,4.9,2.4,2.5,,1.8,8.9,9,23.9,24.3,16.3,16.7,4.9,5.1,4.6,,4.4,,,1.7,,2,8.2,9,3.6,3.6,3.4,3.2,4.3,3.9,4.8,5.1,106.2,272.6,2663.8
79,M,74,JC,,,,,,,,,,,,,10.6,,27.3,,16.8,,5.1,,5.6,,4.3,,2,,2.6,,,,,,,,3.3,,,,97.1,328,3008.5
80,F,88,JC,,,2.3,1.9,,3,1.8,2.5,1.4,1.5,1.2,1.3,6.8,6.1,13.9,12.1,10.3,9.8,3,2.6,3,2.7,2,1.5,0.7,0.8,1.7,1.7,3.9,3.1,2.5,2.9,2.3,,2.3,,,,50.3,214.9,2186.9
81,F,96,JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,108.2,1722.8
82,F,96,JC,,,1.3,1.1,,1.9,,1.7,,,,,,,,,7.3,7.3,2.6,2.6,2.6,2.3,2.1,2.3,0.9,1.1,1.1,1.1,,3.5,2.4,2.3,2.5,1.8,2.3,1.8,3.1,2.5,43.7,158.8,1366.9
83,M,31,JC,26.5,29.1,4.8,,8.5,,,,,,,,,,61,62.1,33.5,30.9,10.1,9.4,10.6,9.5,6.7,8.3,3.2,3.5,4.6,4.1,10.9,14.4,8.8,8.9,7.1,6.6,5.7,4.7,8.5,8.2,189.1,503.4,5222.8
86,M,78,MG,,11.1,,2.6,,4.4,,4.1,,1.8,,1.4,,9.6,,19.6,,15.8,,4.4,,4.7,,3.8,,2.3,,1.6,,6.9,,3.1,,4.1,,3.1,,1.5,92.7,297.3,2729.5
